            segments_date domain     brand channel_type  total_spend_eur  total_metrics_cost   rate currency
2025-01-24 00:00:00+00:00     br   FlixBus     nonbrand     2.638470e+09         16337670892 6.1921      BRL
2025-01-24 00:00:00+00:00     de FlixTrain        mixed     5.471660e+09          5471660113 1.0000      EUR
2025-01-24 00:00:00+00:00     hu   FlixBus     nonbrand     2.755938e+09          2755937792 1.0000      EUR
2025-01-25 00:00:00+00:00     br   FlixBus     nonbrand     2.524036e+09         15615200819 6.1866      BRL
2025-01-25 00:00:00+00:00     de FlixTrain        mixed     5.578510e+09          5578509797 1.0000      EUR
2025-01-25 00:00:00+00:00     hu   FlixBus     nonbrand     2.779791e+09          2779790781 1.0000      EUR
2025-01-26 00:00:00+00:00     br   FlixBus     nonbrand     2.728832e+09         16882194046 6.1866      BRL
2025-01-26 00:00:00+00:00     de FlixTrain        mixed     6.038482e+09          6038481991 1.0000      EUR
2025-01-26 00:00:00+00:00     hu   FlixBus     nonbrand     2.880630e+09          2880629580 1.0000      EUR
2025-01-27 00:00:00+00:00     br   FlixBus     nonbrand     3.193852e+09         19759084817 6.1866      BRL
2025-01-27 00:00:00+00:00     de FlixTrain        mixed     5.763040e+09          5763039599 1.0000      EUR
2025-01-27 00:00:00+00:00     hu   FlixBus     nonbrand     2.803335e+09          2803335144 1.0000      EUR
2025-01-28 00:00:00+00:00     br   FlixBus     nonbrand     2.857469e+09         17823464090 6.2375      BRL
2025-01-28 00:00:00+00:00     de FlixTrain        mixed     5.078392e+09          5078392336 1.0000      EUR
2025-01-28 00:00:00+00:00     hu   FlixBus     nonbrand     2.619567e+09          2619566915 1.0000      EUR
2025-01-29 00:00:00+00:00     br   FlixBus     nonbrand     2.654077e+09         16331862091 6.1535      BRL
2025-01-29 00:00:00+00:00     de FlixTrain        mixed     5.410223e+09          5410222585 1.0000      EUR
2025-01-29 00:00:00+00:00     hu   FlixBus     nonbrand     2.811146e+09          2811145887 1.0000      EUR
2025-01-30 00:00:00+00:00     br   FlixBus     nonbrand     2.777281e+09         16883369086 6.0791      BRL
2025-01-30 00:00:00+00:00     de FlixTrain        mixed     5.336910e+09          5336909676 1.0000      EUR
2025-01-30 00:00:00+00:00     hu   FlixBus     nonbrand     2.852391e+09          2852391248 1.0000      EUR
2025-01-31 00:00:00+00:00     br   FlixBus     nonbrand     2.785166e+09         17127656487 6.1496      BRL
2025-01-31 00:00:00+00:00     de FlixTrain        mixed     5.357385e+09          5357384969 1.0000      EUR
2025-01-31 00:00:00+00:00     hu   FlixBus     nonbrand     2.836424e+09          2836423776 1.0000      EUR
